product_id,product_name,category,subcategory,cost_price
129,T-Shirt,Clothing,T-Shirt,14554
130,Programming,Books,Programming,6193
131,Lamp,Home,Lamp,2494
132,Mobile,Electronics,Mobile,47196
133,T-Shirt,Clothing,T-Shirt,29915
134,Mouse,Electronics,Mouse,49367
135,Novel,Books,Novel,37738
136,Biography,Books,Biography,3539
137,Table,Home,Table,24615
138,Science,Books,Science,28593
139,Headphones,Electronics,Headphones,39387
140,Jeans,Clothing,Jeans,15182
141,Sofa,Home,Sofa,18740
142,T-Shirt,Clothing,T-Shirt,12597
143,keyboard,Electronics,keyboard,36699
144,Science,Books,Science,38885
145,Curtain,Home,Curtain,12899
146,Jeans,Clothing,Jeans,26135
147,Shoes,Clothing,Shoes,42564
148,Jeans,Clothing,Jeans,6590
149,Lamp,Home,Lamp,14085
150,Biography,Books,Biography,42740
151,Biography,Books,Biography,41775
152,Mouse,Electronics,Mouse,17735
153,Shirt,Clothing,Shirt,3153
154,Programming,Books,Programming,37068
155,Curtain,Home,Curtain,40735
156,Keyboard,Electronics,Keyboard,13663
157,Chair,Home,Chair,35532
158,Table,Home,Table,28250
159,Mobile,Electronics,Mobile,43155
160,Chair,Home,Chair,3870
161,Curtain,Home,Curtain,7950
162,Table,Home,Table,48097
163,Table,Home,Table,8235
164,Table,Home,Table,18197
165,Biography,Books,Biography,18914
166,Science,Books,Science,35491
167,Table,Home,Table,36537
168,Jeans,Clothing,Jeans,13772
169,Jeans,Clothing,Jeans,5391
170,t-shirt,Clothing,t-shirt,1031
171,Jacket,Clothing,Jacket,34722
172,Shoes,Clothing,Shoes,45400
173,Table,Home,Table,29930
174,Shoes,Clothing,Shoes,26998
175,Programming,Books,Programming,11411
176,Lamp,Home,Lamp,14236
177,Mobile,Electronics,Mobile,2057
178,Table,Home,Table,6468
179,Jacket,Clothing,Jacket,35032
180,Curtain,Home,Curtain,38662
181,Biography,Books,Biography,44386
182,Keyboard,Electronics,Keyboard,16408
183,Laptop,Electronics,Laptop,6063
184,Shirt,Clothing,Shirt,5908
185,Chair,Home,Chair,11132
186,Laptop,Electronics,Laptop,7833
187,Laptop,Electronics,Laptop,29771
188,Keyboard,Electronics,Keyboard,1230
189, Biography ,Books, Biography ,2957
190,SOFA,Home,SOFA,23019
191,Keyboard,Electronics,Keyboard,1797
192,Table,Home,Table,15737
193,Sofa,Home,Sofa,38045
194,Jeans,Clothing,Jeans,40242
195,Table,Home,Table,138
196,Keyboard,Electronics,Keyboard,7489
197,Sofa,Home,Sofa,10421
198,Biography,Books,Biography,25619
199,Shirt,Clothing,Shirt,17179
200,Curtain,Home,Curtain,7963
201,science,Books,science,24802
202,curtain,Home,curtain,15718
203,Jeans,Clothing,Jeans,29474
204,Sofa,Home,Sofa,26185
205,Headphones,Electronics,Headphones,41262
206,Table,Home,Table,40240
207,Biography,Books,Biography,45341
208,Shoes,Clothing,Shoes,16855
209,PROGRAMMING,Books,PROGRAMMING,35083
210,Lamp,Home,Lamp,11976
211,T-Shirt,Clothing,T-Shirt,38157
212,Science,Books,Science,28876
213,Novel,Books,Novel,44132
214,T-Shirt,Clothing,T-Shirt,39129
215,Programming,Books,Programming,16671
216,Laptop,Electronics,Laptop,42388
217,Keyboard,Electronics,Keyboard,20804
218,Curtain,Home,Curtain,34400
219,Shirt,Clothing,Shirt,35699
220,Mobile,Electronics,Mobile,38154
221,Curtain,Home,Curtain,17412
222,Curtain,Home,Curtain,41264
223,Laptop,Electronics,Laptop,18390
224,Table,Home,Table,17691
225, Biography ,Books, Biography ,46981
226,PROGRAMMING,Books,PROGRAMMING,10088
227,T-Shirt,Clothing,T-Shirt,16454
228,Chair,Home,Chair,44606
229,T-Shirt,Clothing,T-Shirt,43490
230,T-Shirt,Clothing,T-Shirt,25298
231,Programming,Books,Programming,48463
232,Chair,Home,Chair,25511
233,T-Shirt,Clothing,T-Shirt,49298
234,Jacket,Clothing,Jacket,5909
235,jeans,Clothing,jeans,6219
236,Table,Home,Table,38177
237,History,Books,History,49734
238,Mobile,Electronics,Mobile,37073
239,History,Books,History,42304
240,Biography,Books,Biography,29804
241,Chair,Home,Chair,46770
242,T-Shirt,Clothing,T-Shirt,46754
243,Shirt,Clothing,Shirt,4296
244,Mouse,Electronics,Mouse,8882
245,Programming,Books,Programming,9266
246,Science,Books,Science,7311
247,Programming,Books,Programming,29899
248,Jeans,Clothing,Jeans,4547
249,Table,Home,Table,40924
250,Jacket,Clothing,Jacket,2325
251,Mouse,Electronics,Mouse,11316
252,Laptop,Electronics,Laptop,13261
253,Keyboard,Electronics,Keyboard,15953
254,Jacket,Clothing,Jacket,21840
255,History,Books,History,3957
256,Jacket,Clothing,Jacket,16747
257,Chair,Home,Chair,35772
258,CURTAIN,Home,CURTAIN,14710
259,Keyboard,Electronics,Keyboard,13238
260,Science,Books,Science,21190
261,Mouse,Electronics,Mouse,45029
262,Laptop,Electronics,Laptop,22296
263,Jeans,Clothing,Jeans,21913
264,Jacket,Clothing,Jacket,20948
265,Biography,Books,Biography,43829
266,Table,Home,Table,24830
267,Headphones,Electronics,Headphones,11199
268,SOFA,Home,SOFA,6706
269,Jacket,Clothing,Jacket,45086
270,Lamp,Home,Lamp,32101
271,Jacket,Clothing,Jacket,14612
272,Sofa,Home,Sofa,32706
273,T-Shirt,Clothing,T-Shirt,36386
274,Sofa,Home,Sofa,17122
275,Mobile,Electronics,Mobile,29085
276,Biography,Books,Biography,4677
277,Science,Books,Science,21727
278,Keyboard,Electronics,Keyboard,8522
279,Shirt,Clothing,Shirt,48530
280,Mouse,Electronics,Mouse,31261
281,Sofa,Home,Sofa,5417
282,Mouse,Electronics,Mouse,25184
283,Programming,Books,Programming,28428
284, Headphones ,Electronics, Headphones ,28146
285,Biography,Books,Biography,8606
286,Science,Books,Science,427
287,T-Shirt,Clothing,T-Shirt,49695
288,Lamp,Home,Lamp,41083
289,Sofa,Home,Sofa,22822
290,CHAIR,Home,CHAIR,4657
291,Laptop,Electronics,Laptop,11592
292,Curtain,Home,Curtain,14532
293,Laptop,Electronics,Laptop,23323
294,history,Books,history,22578
295,Mobile,Electronics,Mobile,6084
296,Laptop,Electronics,Laptop,26564
297,Shirt,Clothing,Shirt,28793
298,Laptop,Electronics,Laptop,22516
299,Headphones,Electronics,Headphones,8648
300,Table,Home,Table,28561
301,Science,Books,Science,44624
302,Shoes,Clothing,Shoes,48116
303,T-Shirt,Clothing,T-Shirt,27986
304,Laptop,Electronics,Laptop,1913
305,Shoes,Clothing,Shoes,21309
306,Novel,Books,Novel,8468
307,History,Books,History,46678
308,Mouse,Electronics,Mouse,44208
309,Keyboard,Electronics,Keyboard,21796
310,Shirt,Clothing,Shirt,11817
311,Novel,Books,Novel,24996
312,History,Books,History,9450
313,Lamp,Home,Lamp,27663
314,Mobile,Electronics,Mobile,19098
315,Shoes,Clothing,Shoes,30706
316,Shirt,Clothing,Shirt,15039
317,Biography,Books,Biography,48249
318,Mobile,Electronics,Mobile,38516
319,Biography,Books,Biography,1883
320,Mobile,Electronics,Mobile,39288
321,Sofa,Home,Sofa,48155
322,Shoes,Clothing,Shoes,19441
323,Programming,Books,Programming,33592
324,Headphones,Electronics,Headphones,14063
325,Science,Books,Science,2282
326,SHOES,Clothing,SHOES,45070
327,Shoes,Clothing,Shoes,45950
328,Curtain,Home,Curtain,5241
329,Laptop,Electronics,Laptop,26160
330,Shoes,Clothing,Shoes,32161
331,Mobile,Electronics,Mobile,35156
332,Biography,Books,Biography,47336
333,Curtain,Home,Curtain,16917
334,Shoes,Clothing,Shoes,11621
335,Biography,Books,Biography,21294
336,Mouse,Electronics,Mouse,600
337,Biography,Books,Biography,37998
338,Novel,Books,Novel,3601
339,History,Books,History,22201
340,Laptop,Electronics,Laptop,34790
341,Programming,Books,Programming,43168
342,Sofa,Home,Sofa,22350
343,T-Shirt,Clothing,T-Shirt,33511
344,T-Shirt,Clothing,T-Shirt,25892
345,T-Shirt,Clothing,T-Shirt,25130
346,Jacket,Clothing,Jacket,28975
347,Sofa,Home,Sofa,11129
348,Table,Home,Table,17177
349,Sofa,Home,Sofa,21614
350,Table,Home,Table,41363
351,Jacket,Clothing,Jacket,43535
352,Chair,Home,Chair,46512
353,Chair,Home,Chair,14556
354,Jeans,Clothing,Jeans,7910
355,Curtain,Home,Curtain,21805
356,MOBILE,Electronics,MOBILE,44026
357,Shoes,Clothing,Shoes,27870
358,Mouse,Electronics,Mouse,15485
359,Chair,Home,Chair,19896
360,Shirt,Clothing,Shirt,13256
361,History,Books,History,24544
362,Shirt,Clothing,Shirt,21295
363,Mobile,Electronics,Mobile,5279
364,Shoes,Clothing,Shoes,14998
365,Jacket,Clothing,Jacket,38015
366,Chair,Home,Chair,29894
367,Shoes,Clothing,Shoes,24761
368,Programming,Books,Programming,48803
369,Sofa,Home,Sofa,32674
370,Science,Books,Science,8801
371,Shoes,Clothing,Shoes,15190
372,T-Shirt,Clothing,T-Shirt,13565
373, Sofa ,Home, Sofa ,39397
374,Shoes,Clothing,Shoes,22810
375,Shirt,Clothing,Shirt,15718
376,Sofa,Home,Sofa,20417
377,Keyboard,Electronics,Keyboard,48774
378,Jacket,Clothing,Jacket,18299
379,Keyboard,Electronics,Keyboard,15913
380, Programming ,Books, Programming ,11036
381,Sofa,Home,Sofa,26810
382,Shoes,Clothing,Shoes,6060
383, Sofa ,Home, Sofa ,6542
384,Mobile,Electronics,Mobile,43824
385,Jeans,Clothing,Jeans,13696
386,Headphones,Electronics,Headphones,44041
387,Shoes,Clothing,Shoes,45532
388,laptop,Electronics,laptop,46094
389,Chair,Home,Chair,47128
390,Shoes,Clothing,Shoes,6940
391,Curtain,Home,Curtain,21011
392,Lamp,Home,Lamp,45597
393,Shoes,Clothing,Shoes,36684
394,Novel,Books,Novel,4750
395,Laptop,Electronics,Laptop,33288
396,Lamp,Home,Lamp,23481
397, Shoes ,Clothing, Shoes ,28943
398,Programming,Books,Programming,18031
399,Biography,Books,Biography,1003
400,laptop,Electronics,laptop,30307
401,Mobile,Electronics,Mobile,33566
402,History,Books,History,24470
403,Novel,Books,Novel,47678
404,Laptop,Electronics,Laptop,9361
405,History,Books,History,33554
406,History,Books,History,12280
407,Shoes,Clothing,Shoes,31457
408, Sofa ,Home, Sofa ,7484
409,Laptop,Electronics,Laptop,33011
410,T-Shirt,Clothing,T-Shirt,20487
411,Lamp,Home,Lamp,38306
412,Novel,Books,Novel,29558
413,Shirt,Clothing,Shirt,7872
414,Table,Home,Table,43090
415, Sofa ,Home, Sofa ,13344
416,Curtain,Home,Curtain,39872
417,Programming,Books,Programming,9025
418,Programming,Books,Programming,17844
419,Headphones,Electronics,Headphones,15237
420,biography,Books,biography,26731
421,Novel,Books,Novel,6491
422,Lamp,Home,Lamp,43833
423,Shirt,Clothing,Shirt,18617
424,Jacket,Clothing,Jacket,44388
425,History,Books,History,16918
426,t-shirt,Clothing,t-shirt,1896
427,T-Shirt,Clothing,T-Shirt,49264
428,Shirt,Clothing,Shirt,44174
429,Table,Home,Table,47450
430,T-Shirt,Clothing,T-Shirt,30285
431,Chair,Home,Chair,35115
432,Science,Books,Science,40138
433,Shirt,Clothing,Shirt,6716
434,Jeans,Clothing,Jeans,31192
435,Biography,Books,Biography,22480
436,headphones,Electronics,headphones,28043
437,Laptop,Electronics,Laptop,13058
438,T-Shirt,Clothing,T-Shirt,27689
439,Curtain,Home,Curtain,18286
440,Programming,Books,Programming,22073
441,Table,Home,Table,2745
442,Sofa,Home,Sofa,5877
443,Curtain,Home,Curtain,44790
444,Shirt,Clothing,Shirt,31827
445,Headphones,Electronics,Headphones,18993
446,Biography,Books,Biography,9670
447,Shirt,Clothing,Shirt,26298
448,Curtain,Home,Curtain,49084
449,History,Books,History,12114
450,Lamp,Home,Lamp,16107
451, Shirt ,Clothing, Shirt ,26382
452,Novel,Books,Novel,43793
453,Laptop,Electronics,Laptop,43539
454,LAPTOP,Electronics,LAPTOP,31926
455,Curtain,Home,Curtain,17629
456,Novel,Books,Novel,32167
457, Novel ,Books, Novel ,9016
458,Table,Home,Table,41615
459,Mouse,Electronics,Mouse,5502
460,Novel,Books,Novel,2792
461,Science,Books,Science,11361
462,Science,Books,Science,19436
463,Mouse,Electronics,Mouse,10517
464,Novel,Books,Novel,9416
465,Sofa,Home,Sofa,4630
466,laptop,Electronics,laptop,21266
467,Keyboard,Electronics,Keyboard,10089
468,Mobile,Electronics,Mobile,28128
469,Novel,Books,Novel,49432
470,Headphones,Electronics,Headphones,40878
471,Headphones,Electronics,Headphones,31879
472,Table,Home,Table,374
473,Jacket,Clothing,Jacket,4769
474,History,Books,History,12804
475,Keyboard,Electronics,Keyboard,7850
476,jeans,Clothing,jeans,35975
477,Table,Home,Table,29294
478,Novel,Books,Novel,5768
479,Lamp,Home,Lamp,14401
480,History,Books,History,2695
481,Biography,Books,Biography,3512
482,LAPTOP,Electronics,LAPTOP,8040
483,Mobile,Electronics,Mobile,49186
484,Mobile,Electronics,Mobile,457
485, Mouse ,Electronics, Mouse ,33132
486,Curtain,Home,Curtain,36048
487,Laptop,Electronics,Laptop,32800
488,Shoes,Clothing,Shoes,7995
489,Table,Home,Table,16951
490,Programming,Books,Programming,20126
491,Mobile,Electronics,Mobile,31262
492,shoes,Clothing,shoes,21965
493,Headphones,Electronics,Headphones,23314
494,Shirt,Clothing,Shirt,44982
495,Chair,Home,Chair,31928
496,Novel,Books,Novel,24300
497,Shoes,Clothing,Shoes,32954
498,Shoes,Clothing,Shoes,42522
499,Jacket,Clothing,Jacket,38296
500,sofa,Home,sofa,6965
