date,total_customers,total_revenue,avg_transaction
2022-10-02,9,8113.91,616.33
2022-10-03,10,7661.32,945.68
2022-10-04,12,4575.17,496.56
2022-10-05,11,17484.49,1499.39
2022-10-06,11,3332.63,362.88
2022-10-07,13,2719.46,313.89
2022-10-08,9,2792.3,269.9
2022-10-09,6,1316.45,216.54
2022-10-10,5,5400.65,583.8
2022-10-11,7,5475.58,786.34
2022-10-12,9,5251.52,470.24
2022-10-13,7,628.91,126.44
2022-10-14,24,15084.89,773.85
2022-10-15,12,3386.35,448.78
2022-10-16,15,6822.13,545.37
2022-10-17,6,7014.74,680.16
2022-10-18,14,5868.42,419.2
2022-10-19,9,3230.7,390.36
2022-10-20,1,2012.84,362.62
2022-10-21,15,2134.01,202.75
2022-10-22,10,2067.82,214.62
2022-10-23,13,2560.52,202.42
2022-10-24,4,1574.19,334.4
2022-10-25,7,3623.59,540.79
2022-10-26,8,2549.25,375.24
2022-10-27,17,11694.13,834.18
2022-10-28,7,2972.84,300.73
2022-10-29,16,2404.04,206.44
2022-10-30,19,5201.42,401.04
2022-10-31,3,2861.42,382.29
2022-11-01,14,12038.23,944.6
2022-11-02,12,3397.33,272.84
2022-11-03,10,5737.6,526.36
2022-11-04,11,2910.03,275.94
2022-11-05,13,10306.77,820.35
2022-11-06,12,4769.01,522.47
2022-11-07,10,8005.58,560.4
2022-11-08,9,2041.88,276.13
2022-11-09,5,1567.97,228.86
2022-11-10,13,3064.54,419.39
2022-11-11,16,8144.29,653.19
2022-11-12,7,1861.94,223.23
2022-11-13,7,1112.24,398.31
2022-11-14,8,3149.1,293.48
2022-11-15,7,2662.31,329.56
2022-11-16,20,3708.4,279.27
2022-11-17,2,1103.71,311.78
2022-11-18,12,6192.88,767.71
2022-11-19,8,1504.9,191.86
2022-11-20,14,3752.0,428.14
2022-11-21,11,3169.11,288.16
2022-11-22,7,2674.27,593.03
2022-11-23,2,4496.14,928.08
2022-11-24,17,8695.26,603.0
2022-11-25,12,10563.77,864.87
2022-11-26,22,9313.55,581.66
2022-11-27,5,1494.08,198.02
2022-11-28,10,9161.94,758.25
2022-11-29,16,9770.01,743.25
2022-11-30,9,3708.87,499.09
2022-12-01,3,514.87,102.18
2022-12-02,16,3462.12,350.49
2022-12-03,7,3073.87,554.27
2022-12-04,8,10794.85,1373.27
2022-12-05,8,3764.48,397.34
2022-12-06,12,3796.82,408.23
2022-12-07,14,2677.43,281.08
2022-12-08,15,3138.15,265.18
2022-12-09,6,2641.01,257.31
2022-12-10,8,7625.64,699.42
2022-12-11,18,5404.23,383.38
2022-12-12,7,3669.85,548.94
2022-12-13,8,10801.36,905.79
2022-12-14,7,3530.56,353.43
2022-12-15,7,4022.29,691.14
2022-12-16,12,8431.3,1139.16
2022-12-17,9,1015.36,273.99
2022-12-18,9,6622.49,493.85
2022-12-19,9,12921.1,995.65
2022-12-20,6,9535.36,1165.02
2022-12-21,5,1578.85,216.15
2022-12-22,15,9637.61,777.13
2022-12-23,12,4503.03,552.28
2022-12-24,2,,257.34
2022-12-25,14,3823.94,309.65
2022-12-26,10,3975.31,314.89
2022-12-27,7,1722.85,364.89
2022-12-28,16,4969.79,444.21
2022-12-29,7,9138.89,1006.03
2022-12-30,15,8723.73,590.58
2022-12-31,10,4902.41,635.1
2023-01-01,10,4455.21,507.4
2023-01-02,9,4551.08,423.06
2023-01-03,13,2565.9,309.98
2023-01-04,15,4324.07,389.78
2023-01-05,4,3926.19,620.22
2023-01-06,8,2530.48,531.16
2023-01-07,10,3918.42,469.89
2023-01-08,10,3226.76,293.68
2023-01-09,13,2225.94,241.47
2023-01-10,21,4473.44,263.2
2023-01-11,10,3365.35,599.04
2023-01-12,13,3840.62,443.17
2023-01-13,6,2803.58,252.93
2023-01-14,12,2641.22,404.33
2023-01-15,2,4163.62,900.03
2023-01-16,6,3392.37,435.1
2023-01-17,10,2252.4,306.69
2023-01-18,19,5551.82,372.88
2023-01-19,18,7193.1,517.66
2023-01-20,9,8603.06,590.84
2023-01-21,7,2266.38,268.57
2023-01-22,5,6511.64,700.49
2023-01-23,9,3121.38,499.77
2023-01-24,11,4752.27,441.56
2023-01-25,10,2982.66,318.1
2023-01-26,11,2598.72,357.09
2023-01-27,4,2661.72,343.97
2023-01-28,16,5402.92,520.24
2023-01-29,15,1614.12,172.52
2023-01-30,16,2754.43,261.86
2023-01-31,11,3658.18,361.5
2023-02-01,6,5602.43,572.79
2023-02-02,3,4197.61,660.35
2023-02-03,7,9402.32,1048.58
2023-02-04,6,3456.56,462.92
2023-02-05,12,15029.96,1000.36
2023-02-06,12,4264.82,454.43
2023-02-07,14,3356.53,372.13
2023-02-08,6,2740.16,326.5
2023-02-09,15,2726.26,293.76
2023-02-10,5,5588.18,770.71
2023-02-11,13,8072.95,451.21
2023-02-12,12,2509.62,288.3
2023-02-13,12,7049.36,608.37
2023-02-14,10,4325.11,378.51
2023-02-15,0,1406.02,378.72
2023-02-16,8,3745.96,448.83
2023-02-17,8,4936.92,685.94
2023-02-18,5,3429.2,501.28
2023-02-19,13,3135.1,371.53
2023-02-20,16,6282.77,533.67
2023-02-21,16,16091.92,1517.61
2023-02-22,8,5893.05,817.28
2023-02-23,17,6138.62,507.2
2023-02-24,9,7078.28,550.22
2023-02-25,9,1311.7,267.08
2023-02-26,13,5014.25,457.43
2023-02-27,7,689.26,180.44
2023-02-28,7,3107.07,405.02
2023-03-01,10,5843.06,794.91
2023-03-02,7,11220.81,1457.44
2023-03-03,4,3152.05,412.03
2023-03-04,11,11629.04,1546.08
2023-03-05,13,1157.39,156.83
2023-03-06,10,2604.72,235.61
2023-03-07,5,,153.42
2023-03-08,8,4091.92,727.58
2023-03-09,14,7856.72,460.09
2023-03-10,7,2858.64,373.28
2023-03-11,5,6932.79,862.52
2023-03-12,6,4926.13,857.66
2023-03-13,14,5337.33,595.62
2023-03-14,13,4590.7,547.28
2023-03-15,6,28556.17,3281.03
2023-03-16,9,7760.65,703.32
2023-03-17,11,2524.22,272.81
2023-03-18,9,2649.99,352.75
2023-03-19,5,4961.63,573.45
2023-03-20,9,2446.9,290.73
2023-03-21,5,2506.02,316.02
2023-03-22,16,4466.45,431.25
2023-03-23,3,4492.63,1217.21
2023-03-24,14,8469.31,978.58
2023-03-25,4,3604.07,448.11
2023-03-26,12,8489.85,713.16
2023-03-27,3,2028.49,285.34
2023-03-28,7,6338.58,835.02
2023-03-29,7,3649.75,616.89
2023-03-30,6,2179.71,383.17
2023-03-31,13,4336.78,411.12
2023-04-01,14,6836.67,469.7
2023-04-02,11,1365.46,192.04
2023-04-03,0,2931.99,635.11
2023-04-04,16,6929.15,640.88
2023-04-05,16,4604.05,436.81
2023-04-06,5,5555.61,725.46
2023-04-07,11,2302.38,295.97
2023-04-08,4,4170.02,476.94
2023-04-09,8,2672.68,218.92
2023-04-10,7,9213.52,1418.45
2023-04-11,6,5047.14,500.84
2023-04-12,10,4407.95,496.32
2023-04-13,17,7213.84,519.12
2023-04-14,7,3845.4,475.46
2023-04-15,12,4403.69,423.3
2023-04-16,14,4945.3,402.92
2023-04-17,13,4641.06,370.85
2023-04-18,14,4915.08,494.36
2023-04-19,13,3545.54,354.01
2023-04-20,5,4000.31,444.59
2023-04-21,2,5522.33,786.63
2023-04-22,12,2030.25,241.17
2023-04-23,12,2692.52,419.56
2023-04-24,4,6706.97,722.53
2023-04-25,12,3001.28,344.52
2023-04-26,5,5239.76,540.87
2023-04-27,1,929.37,197.87
2023-04-28,6,5847.29,584.66
2023-04-29,10,6633.21,540.75
2023-04-30,6,3923.56,358.66
2023-05-01,11,2262.98,287.2
2023-05-02,14,21890.08,1465.53
2023-05-03,2,1667.92,349.4
2023-05-04,16,2960.41,227.09
2023-05-05,14,6068.69,732.49
2023-05-06,10,11063.4,1289.95
2023-05-07,10,5997.85,557.61
2023-05-08,14,2817.9,270.91
2023-05-09,8,2902.14,311.25
2023-05-10,9,2762.34,284.62
2023-05-11,6,2877.23,443.19
2023-05-12,5,3353.09,566.36
2023-05-13,8,8008.38,953.82
2023-05-14,7,5071.39,588.78
2023-05-15,10,7393.57,605.6
2023-05-16,0,2155.03,473.98
2023-05-17,12,3460.58,286.47
2023-05-18,13,4616.65,398.39
2023-05-19,12,2237.71,198.83
2023-05-20,13,5550.33,687.55
2023-05-21,10,3900.5,281.77
2023-05-22,8,3295.65,292.09
2023-05-23,7,674.42,140.33
2023-05-24,2,2032.65,276.88
2023-05-25,11,10444.09,854.3
2023-05-26,5,,371.29
2023-05-27,14,6409.09,573.72
2023-05-28,4,1018.79,119.73
2023-05-29,8,7650.4,684.72
2023-05-30,11,7031.66,523.23
2023-05-31,4,5074.04,556.55
2023-06-01,9,6750.09,715.31
2023-06-02,5,3067.31,525.63
2023-06-03,4,1201.49,316.61
2023-06-04,20,6974.89,379.34
2023-06-05,9,7903.75,761.81
2023-06-06,13,2930.29,367.53
2023-06-07,10,3880.43,487.2
2023-06-08,5,6505.88,953.26
2023-06-09,16,,243.11
2023-06-10,4,1245.61,189.18
2023-06-11,11,5623.67,513.89
2023-06-12,11,5796.31,430.04
2023-06-13,16,4708.22,326.77
2023-06-14,14,4312.46,325.43
2023-06-15,15,7298.04,537.38
2023-06-16,4,2387.1,323.18
2023-06-17,5,1892.39,173.9
2023-06-18,16,11875.34,913.34
2023-06-19,2,4029.31,566.55
2023-06-20,9,5416.31,429.61
2023-06-21,7,2881.52,338.85
2023-06-22,13,2781.67,249.9
2023-06-23,8,2927.64,292.27
2023-06-24,12,1631.01,257.68
2023-06-25,6,1269.29,174.78
2023-06-26,10,2990.83,446.34
2023-06-27,12,1464.55,194.43
2023-06-28,12,2037.06,245.23
2023-06-29,7,3167.44,569.46
2023-06-30,5,3784.66,499.3
2023-07-01,8,4225.46,326.64
2023-07-02,10,1168.48,247.18
2023-07-03,15,10410.82,791.16
2023-07-04,7,4560.09,429.67
2023-07-05,9,3993.5,398.53
2023-07-06,4,5507.42,582.14
2023-07-07,7,2015.17,312.22
2023-07-08,21,6171.02,403.41
2023-07-09,10,4889.97,592.46
2023-07-10,10,5211.45,548.85
2023-07-11,13,9267.67,770.42
2023-07-12,15,3126.3,257.07
2023-07-13,15,11457.78,731.89
2023-07-14,11,10307.03,977.6
2023-07-15,9,3701.48,371.13
2023-07-16,7,3617.94,430.52
2023-07-17,9,,310.75
2023-07-18,8,3519.98,631.99
2023-07-19,8,6248.98,615.22
2023-07-20,11,2751.22,223.76
2023-07-21,12,5687.99,480.22
2023-07-22,4,888.03,244.56
2023-07-23,8,2098.16,323.45
2023-07-24,13,2972.34,299.02
2023-07-25,8,2673.29,454.02
2023-07-26,16,9890.7,837.03
2023-07-27,6,5794.08,808.39
2023-07-28,16,13387.12,877.54
2023-07-29,19,3114.07,239.68
2023-07-30,5,2375.47,282.39
2023-07-31,12,2014.55,207.63
2023-08-01,8,2499.84,246.9
2023-08-02,6,2734.42,331.52
2023-08-03,14,6826.45,612.32
2023-08-04,1,2875.3,634.34
2023-08-05,9,15741.05,2178.18
2023-08-06,15,8070.68,844.9
2023-08-07,10,1193.49,202.04
2023-08-08,5,2202.33,215.76
2023-08-09,4,2137.31,735.63
2023-08-10,8,2859.12,644.67
2023-08-11,11,4283.3,475.51
2023-08-12,7,4562.84,618.13
2023-08-13,5,7220.32,775.93
2023-08-14,5,3283.38,548.1
2023-08-15,12,6018.48,363.86
2023-08-16,11,4326.28,296.63
2023-08-17,11,2944.38,236.39
2023-08-18,6,4984.74,511.6
2023-08-19,10,5869.3,410.53
2023-08-20,11,2312.17,289.85
2023-08-21,7,3056.5,553.73
2023-08-22,9,425.56,107.03
2023-08-23,6,3695.33,431.34
2023-08-24,0,569.23,150.96
2023-08-25,18,8307.2,598.4
2023-08-26,6,2836.46,284.43
2023-08-27,6,7166.58,809.67
2023-08-28,2,4115.05,740.65
2023-08-29,5,7436.39,821.91
2023-08-30,11,6444.35,404.25
2023-08-31,3,690.39,179.19
2023-09-01,7,4620.59,501.29
2023-09-02,15,5609.33,605.9
2023-09-03,8,2199.56,442.0
2023-09-04,9,3213.81,309.49
2023-09-05,2,684.01,150.59
2023-09-06,11,2527.54,186.27
2023-09-07,8,3027.7,316.29
2023-09-08,7,2290.51,387.47
2023-09-09,10,5552.99,480.37
2023-09-10,8,2218.8,336.18
2023-09-11,7,4697.74,722.72
2023-09-12,0,1430.68,300.16
2023-09-13,13,6481.61,522.43
2023-09-14,12,3762.74,570.27
2023-09-15,5,6454.31,761.53
2023-09-16,10,4574.24,568.14
2023-09-17,7,3305.39,371.99
2023-09-18,3,2707.09,396.52
2023-09-19,8,1714.2,305.43
2023-09-20,10,6696.01,669.19
2023-09-21,10,7536.25,888.42
2023-09-22,7,2738.06,735.32
2023-09-23,7,6087.85,1115.52
2023-09-24,11,4327.43,372.34
2023-09-25,21,10510.75,690.66
2023-09-26,8,1119.88,210.27
2023-09-27,15,5583.04,528.01
2023-09-28,13,7607.03,658.48
2023-09-29,12,8156.97,889.51
2023-09-30,11,3354.63,345.3
2023-10-01,9,2067.25,226.52
2023-10-02,5,3128.12,320.76
2023-10-03,15,10964.86,904.34
2023-10-04,9,3193.41,366.45
2023-10-05,11,2403.35,357.22
2023-10-06,12,6085.64,644.29
2023-10-07,6,4955.27,580.33
2023-10-08,8,3053.16,359.57
2023-10-09,2,2227.49,336.35
2023-10-10,8,1669.16,213.64
2023-10-11,7,2022.42,404.26
2023-10-12,11,5476.83,506.72
2023-10-13,14,5013.66,602.65
2023-10-14,9,2300.6,338.3
2023-10-15,11,2131.33,208.49
2023-10-16,10,3706.8,362.91
2023-10-17,8,3239.59,324.87
2023-10-18,13,3446.8,241.51
2023-10-19,10,3518.4,274.59
2023-10-20,4,4860.02,489.76
2023-10-21,14,3554.11,259.42
2023-10-22,7,1404.98,141.37
2023-10-23,6,,779.47
2023-10-24,7,971.98,256.29
2023-10-25,4,2860.28,423.7
2023-10-26,10,2123.94,220.29
2023-10-27,6,2963.67,337.2
2023-10-28,7,7573.75,657.99
2023-10-29,16,8246.62,711.03
2023-10-30,11,6073.19,650.18
2023-10-31,6,4710.04,470.73
2023-11-01,8,830.55,125.45
2023-11-02,4,1752.65,370.18
2023-11-03,4,1472.06,322.75
2023-11-04,16,5989.65,504.57
2023-11-05,13,2197.47,272.57
2023-11-06,15,3224.61,282.2
2023-11-07,5,7214.29,754.86
2023-11-08,10,2756.22,452.2
2023-11-09,3,2152.07,395.43
2023-11-10,5,1355.28,369.61
2023-11-11,10,2734.09,244.54
2023-11-12,10,2612.24,467.67
2023-11-13,8,2495.55,367.09
2023-11-14,13,21781.38,1221.33
2023-11-15,7,3958.53,376.53
2023-11-16,3,5394.69,843.88
2023-11-17,6,4665.07,711.35
2023-11-18,12,7102.23,563.44
2023-11-19,4,4445.11,610.04
2023-11-20,8,1857.74,400.92
2023-11-21,4,3769.35,439.76
2023-11-22,13,2338.71,281.12
2023-11-23,7,3902.81,398.02
2023-11-24,8,4780.66,458.34
2023-11-25,12,1796.63,204.15
2023-11-26,13,2765.79,330.2
2023-11-27,8,2819.36,247.4
2023-11-28,16,4650.62,363.95
2023-11-29,6,1194.58,249.72
2023-11-30,9,5001.75,461.2
2023-12-01,14,5299.41,437.47
2023-12-02,3,1865.32,277.78
2023-12-03,8,4869.93,494.8
2023-12-04,16,2611.0,221.62
2023-12-05,17,2991.39,257.27
2023-12-06,4,1732.9,202.32
2023-12-07,7,4676.0,604.87
2023-12-08,13,11172.07,734.44
2023-12-09,11,2908.89,341.78
2023-12-10,9,12400.63,2162.04
2023-12-11,7,5453.75,500.9
2023-12-12,15,7845.81,502.61
2023-12-13,18,13743.78,703.26
2023-12-14,13,4384.32,414.38
2023-12-15,14,,1025.16
2023-12-16,15,5617.83,400.53
2023-12-17,13,7390.38,819.85
2023-12-18,8,5835.13,813.43
2023-12-19,7,8535.89,880.63
2023-12-20,6,4266.2,503.75
2023-12-21,7,2807.9,246.91
2023-12-22,4,2909.46,441.58
2023-12-23,2,2118.18,590.32
2023-12-24,8,5698.57,636.17
2023-12-25,4,1956.44,264.63
2023-12-26,6,2495.34,293.36
2023-12-27,8,2803.31,314.35
2023-12-28,10,6767.39,548.94
2023-12-29,10,1256.21,191.58
2023-12-30,15,7754.71,641.2
2023-12-31,9,,969.98
2024-01-01,8,2660.59,390.15
2024-01-02,12,5873.9,801.01
2024-01-03,13,3441.34,397.99
2024-01-04,7,6384.4,1335.53
2024-01-05,4,3314.5,382.61
2024-01-06,13,6544.26,744.46
2024-01-07,10,11732.82,1030.78
2024-01-08,7,7088.98,902.31
2024-01-09,9,2984.09,340.38
2024-01-10,10,7131.16,783.2
2024-01-11,10,3164.88,576.67
2024-01-12,7,4894.54,475.45
2024-01-13,8,2006.7,524.06
2024-01-14,19,7270.52,463.73
2024-01-15,5,1768.43,238.18
2024-01-16,14,6974.64,744.15
2024-01-17,20,5220.5,314.12
2024-01-18,16,5787.4,574.47
2024-01-19,3,4960.35,618.95
2024-01-20,9,8548.67,666.41
2024-01-21,8,4547.3,489.66
2024-01-22,15,7871.04,505.36
2024-01-23,1,2773.04,692.93
2024-01-24,11,1874.31,283.14
2024-01-25,13,4775.78,393.45
2024-01-26,9,2858.68,435.46
2024-01-27,12,2884.89,334.7
2024-01-28,13,4830.71,482.26
2024-01-29,10,3565.94,413.19
2024-01-30,8,1446.75,216.0
2024-01-31,12,5424.36,711.97
2024-02-01,12,13023.39,1704.45
2024-02-02,19,8422.78,621.37
2024-02-03,9,4315.53,412.89
2024-02-04,8,4367.65,394.21
2024-02-05,3,1376.41,291.72
2024-02-06,14,20110.44,1344.85
2024-02-07,15,2991.2,258.4
2024-02-08,0,1306.16,367.03
2024-02-09,10,7819.13,842.04
2024-02-10,10,9487.6,1057.52
2024-02-11,8,2705.09,308.84
2024-02-12,9,15943.36,1073.37
2024-02-13,15,4404.56,340.38
2024-02-14,13,12669.77,852.57
2024-02-15,16,5643.27,516.01
2024-02-16,7,2010.27,252.85
