transaction_id,customer_id,amount,transaction_date,status
TXN0004714,CRM003114,139.98,2022-11-13,pending
TXN0010028,CRM003304,268.95,2023-08-22,pending
TXN0000021,CRM008847,170.95,2022-06-11,pending
TXN0011133,CRM006535,155.95,2023-06-13,completed
TXN0009660,CRM002646,54.67,2022-11-08,completed
TXN0011428,CRM004321,438.68,2022-03-01,completed
TXN0008620,CRM001115,233.63,2022-06-05,completed
TXN0003934,CRM000770,291.51,2023-10-10,pending
TXN0006251,CRM007753,43.28,2022-01-09,completed
TXN0003346,CRM005322,346.27,2023-01-22,completed
TXN0004164,CRM002151,748.86,2023-06-02,completed
TXN0003882,CRM010006,292.56,2022-12-27,completed
TXN0005879,CRM009205,786.1,2023-04-29,completed
TXN0006231,CRM001380,940.68,2023-12-03,completed
TXN0004201,CRM001820,161.58,2022-03-07,completed
TXN0005322,CRM003885,78.87,2023-02-28,refunded
TXN0001631,CRM006982,626.42,2022-07-08,completed
TXN0000694,CRM001309,316.89,2024-03-04,failed
TXN0011222,CRM002186,464.69,2023-11-08,completed
TXN0008507,CRM002622,429.35,2022-08-24,completed
TXN0008307,CRM008395,258.1,2022-09-08,completed
TXN0005486,CRM003123,1211.11,2024-05-23,completed
TXN0005315,GHOST00521,554.94,2022-10-26,completed
TXN0005635,CRM000797,981.86,2023-07-12,completed
TXN0006432,CRM001047,1402.14,2023-10-25,completed
TXN0007272,CRM002501,72.37,2022-04-03,completed
TXN0002493,GHOST00762,22.17,2022-07-07,failed
TXN0002031,CRM003248,333.05,2023-04-09,completed
TXN0007146,CRM008939,76.75,2023-09-30,completed
TXN0007044,CRM005339,919.96,2023-09-22,completed
TXN0001843,CRM008206,1013.29,2022-01-14,completed
TXN0011956,CRM002624,563.52,2023-05-22,completed
TXN0005669,CRM003045,115.21,2022-10-31,completed
TXN0001614,CRM002372,264.05,2022-07-24,completed
TXN0006613,CRM003545,1538.75,2023-06-14,completed
TXN0002648,CRM000722,75.12,2022-02-14,completed
TXN0006909,GHOST00438,1255.78,2023-04-21,pending
TXN0009425,CRM005666,189.46,2024-02-07,refunded
TXN0011838,CRM008465,962.27,2023-02-16,completed
TXN0011211,CRM008167,481.42,2023-01-12,completed
TXN0000550,CRM002048,46.35,2024-04-10,pending
TXN0004146,CRM006184,3895.5,2022-03-05,completed
TXN0007676,CRM009139,99.4,2023-05-30,completed
TXN0009466,GHOST00450,100.25,2022-06-15,completed
TXN0003680,CRM001036,535.9,2023-11-28,completed
TXN0002589,CRM002235,790.16,2022-11-11,completed
TXN0008484,CRM006650,1139.5,2022-08-30,completed
TXN0004369,CRM007389,814.49,2022-03-06,completed
TXN0006496,CRM000572,69.46,2022-04-16,pending
TXN0007254,CRM003166,245.57,2022-12-19,completed
TXN0007377,CRM008642,184.99,2023-06-14,completed
TXN0008797,CRM001334,321.93,2023-03-17,completed
TXN0008238,CRM010320,572.1,2024-05-20,completed
TXN0003998,CRM008432,297.08,2022-04-27,completed
TXN0005655,CRM008281,296.46,2023-02-09,completed
TXN0010424,GHOST00953,22.53,2024-04-22,completed
TXN0011949,CRM002437,299.68,2023-10-03,completed
TXN0007639,CRM006718,146.85,2023-01-13,completed
TXN0003336,GHOST01078,276.35,2022-05-09,completed
TXN0001001,CRM007476,85.17,2024-02-04,completed
TXN0004828,GHOST00546,61.02,2022-07-11,completed
TXN0009515,CRM005156,287.02,2022-03-17,completed
TXN0004464,CRM003939,279.23,2023-07-20,refunded
TXN0000836,GHOST00164,271.51,2023-06-11,pending
TXN0001397,CRM005841,1126.77,2022-12-27,completed
TXN0009726,GHOST00668,1405.24,2022-02-08,failed
TXN0002545,CRM004682,48.16,2024-01-17,completed
TXN0011503,CRM005541,649.36,2023-07-28,completed
TXN0009075,CRM008277,500.95,2023-08-12,failed
TXN0005445,CRM008732,188.81,2023-05-04,completed
TXN0000207,CRM010032,370.93,2024-04-29,completed
TXN0011779,CRM006292,303.67,2023-07-14,refunded
TXN0004381,CRM000358,90.1,2022-02-18,completed
TXN0008072,CRM007641,58.04,2022-09-25,completed
TXN0004042,CRM009260,190.41,2024-03-01,completed
TXN0001899,CRM010299,417.35,2022-05-10,completed
TXN0008038,CRM001842,530.94,2022-06-11,completed
TXN0000966,CRM005851,520.33,2022-09-17,completed
TXN0000668,CRM002255,87.39,2022-07-02,completed
TXN0005393,CRM004714,88.29,2023-08-13,completed
TXN0007713,CRM004591,27.53,2022-07-11,completed
TXN0005174,CRM009198,295.6,2023-06-09,completed
TXN0010905,CRM004034,55.71,2022-03-23,pending
TXN0009051,CRM004447,534.04,2023-08-17,completed
TXN0000476,CRM008315,369.88,2022-01-15,completed
TXN0010924,GHOST00287,247.97,2022-06-24,completed
TXN0009573,CRM001028,212.56,2024-04-18,completed
TXN0000889,GHOST00147,38.98,2022-07-16,completed
TXN0003081,CRM003390,182.24,2022-07-17,completed
TXN0009621,CRM001546,39.58,2022-09-26,completed
TXN0003374,CRM008203,509.32,2022-08-14,completed
TXN0003300,CRM007301,154.79,2024-06-28,completed
TXN0002984,CRM004053,48.16,2022-06-27,failed
TXN0002476,CRM007142,265.79,2023-06-23,failed
TXN0005931,CRM007289,210.62,2023-06-04,completed
TXN0000314,CRM008591,459.69,2022-06-03,refunded
TXN0003418,CRM002348,544.19,2023-06-09,refunded
TXN0004681,CRM007707,221.29,2024-01-17,failed
TXN0010278,CRM010436,46.47,2022-08-08,failed
TXN0009897,CRM010237,124.33,2022-03-09,completed
TXN0004857,CRM000104,38.37,2024-03-20,completed
TXN0010483,CRM010420,19.69,2022-09-19,completed
TXN0008514,CRM003214,1575.82,2022-01-06,completed
TXN0011180,CRM006625,1153.24,2023-05-31,completed
TXN0003755,CRM009803,235.25,2023-11-24,completed
TXN0003010,CRM002670,77.51,2023-06-05,failed
TXN0010458,GHOST00293,44.5,2023-05-21,completed
TXN0002526,CRM004927,63.16,2022-02-03,completed
TXN0004764,CRM010151,442.69,2023-07-07,pending
TXN0005801,CRM007951,352.13,2023-12-13,pending
TXN0001067,CRM002078,478.58,2022-06-08,failed
TXN0007545,CRM004593,1461.24,2024-06-22,completed
TXN0008893,CRM006347,842.59,2022-09-12,completed
TXN0009517,CRM005047,392.42,2023-10-03,refunded
TXN0006104,CRM005175,468.4,2024-03-19,completed
TXN0005520,GHOST00469,211.82,2023-05-17,completed
TXN0000154,CRM007477,4630.75,2023-12-31,completed
TXN0009684,CRM009809,87.21,2022-10-16,completed
TXN0005435,GHOST00899,445.18,2024-02-11,completed
TXN0009242,CRM008700,162.9,2022-12-20,completed
TXN0002338,CRM003179,68.91,2022-04-20,failed
TXN0006931,CRM004521,113.64,2024-02-26,refunded
TXN0006861,CRM003997,784.91,2022-11-28,completed
TXN0000371,GHOST00843,873.5,2022-09-24,completed
TXN0006109,CRM000499,75.75,2023-10-19,failed
TXN0002569,CRM006697,124.91,2022-07-20,completed
TXN0008543,CRM007714,38.54,2022-11-27,completed
TXN0009892,CRM010373,270.05,2022-04-19,failed
TXN0006282,CRM007145,130.48,2023-09-08,completed
TXN0008097,CRM010462,,2023-10-31,completed
TXN0004377,CRM009328,1227.08,2023-08-30,completed
TXN0003079,CRM000357,497.06,2023-08-18,completed
TXN0005480,CRM006118,70.6,2024-02-21,completed
TXN0009371,CRM005649,62.95,2022-10-30,completed
TXN0001851,CRM004185,26.32,2022-08-02,completed
TXN0009409,CRM005880,310.24,2022-07-27,refunded
TXN0011235,CRM005068,137.44,2022-06-03,completed
TXN0003445,CRM009616,378.19,2023-11-22,completed
TXN0009563,CRM007142,45.77,2023-04-06,completed
TXN0011979,CRM003781,2052.45,2024-02-14,completed
TXN0000106,CRM007114,248.75,2024-02-07,completed
TXN0006585,CRM003121,3827.48,2023-12-24,completed
TXN0007489,CRM004503,203.86,2022-05-19,completed
TXN0006872,CRM002759,1744.05,2022-06-13,completed
TXN0009935,CRM001863,141.36,2023-03-09,completed
TXN0000498,CRM001889,288.14,2022-11-18,completed
TXN0005921,CRM002661,243.79,2022-12-11,failed
TXN0005421,CRM006340,736.79,2022-07-29,completed
TXN0003390,CRM000308,482.96,2022-07-14,completed
TXN0006321,CRM002322,377.04,2024-03-18,pending
TXN0007062,CRM009186,407.38,2024-02-23,completed
TXN0010692,CRM003559,401.74,2023-07-13,completed
TXN0006111,CRM004527,729.62,2023-08-16,completed
TXN0010780,CRM004581,4316.56,2024-01-16,completed
TXN0005307,CRM004454,935.38,2022-12-11,completed
TXN0005998,CRM001142,101.86,2023-01-20,completed
TXN0005251,GHOST00916,75.27,2022-11-24,completed
TXN0000103,CRM006773,168.37,2022-10-31,completed
TXN0011633,CRM008280,562.76,2022-10-25,completed
TXN0010236,CRM000017,198.05,2022-04-14,completed
TXN0000788,CRM000984,68.33,2023-10-16,pending
TXN0004177,GHOST00325,210.25,2024-03-23,refunded
TXN0010583,CRM008080,9.32,2022-12-06,completed
TXN0004856,CRM000593,481.0,2022-01-06,completed
TXN0005148,CRM009431,552.09,2023-04-06,failed
TXN0007754,CRM004770,397.94,2022-01-25,completed
TXN0006979,CRM001277,33.26,2022-10-12,completed
TXN0008009,CRM010013,95.64,2023-04-07,completed
TXN0001727,CRM003862,37.66,2024-03-19,completed
TXN0009111,CRM008523,351.28,2023-07-16,completed
TXN0010407,CRM005558,130.85,2024-03-28,completed
TXN0002937,CRM005810,1878.14,2022-09-25,completed
TXN0008720,CRM004856,74.3,2023-08-13,completed
TXN0008892,CRM004511,240.17,2022-10-26,completed
TXN0001563,CRM001362,34.13,2022-03-29,completed
TXN0011444,CRM001151,420.82,2023-04-07,completed
TXN0005126,CRM005887,241.92,2024-04-21,completed
TXN0005186,CRM001421,136.12,2023-02-26,pending
TXN0006133,CRM008164,107.69,2022-02-12,pending
TXN0005359,CRM006895,46.34,2022-10-11,completed
TXN0007496,CRM006132,,2022-08-04,refunded
TXN0010238,CRM001015,641.57,2023-02-24,completed
TXN0008482,CRM006976,151.93,2022-12-29,completed
TXN0010239,CRM005717,673.37,2022-02-24,completed
TXN0003760,CRM001475,453.54,2023-01-03,failed
TXN0000124,CRM001919,354.99,2023-12-05,completed
TXN0009378,CRM002785,,2022-11-15,pending
TXN0006548,CRM010428,543.86,2022-07-31,refunded
TXN0009055,CRM006343,158.29,2023-03-10,completed
TXN0002757,CRM006640,226.28,2022-03-19,completed
TXN0000384,CRM000685,199.27,2022-07-07,completed
TXN0005450,CRM002571,180.18,2023-11-20,completed
TXN0001547,GHOST01014,211.79,2024-06-07,completed
TXN0007056,CRM007733,1036.23,2022-04-07,completed
TXN0004412,CRM008711,263.21,2022-01-25,pending
TXN0008200,CRM000915,107.96,2024-04-05,completed
TXN0005774,CRM009393,488.01,2023-10-03,completed
TXN0000865,CRM008332,387.01,2023-02-06,completed
TXN0001789,CRM003366,279.0,2023-05-02,completed
TXN0010334,CRM000170,191.05,2023-05-02,failed
TXN0008110,CRM008685,57.71,2022-04-16,refunded
TXN0001359,GHOST00257,2662.18,2023-11-14,completed
TXN0008729,CRM003378,97.41,2023-07-23,completed
TXN0006595,CRM001358,122.44,2024-03-29,completed
TXN0003672,CRM008929,394.51,2022-01-30,failed
TXN0009481,CRM002365,1605.16,2023-10-05,completed
TXN0010105,CRM002706,78.6,2024-01-22,pending
TXN0003752,GHOST01061,579.21,2024-05-10,completed
TXN0003643,CRM006430,94.81,2023-08-20,refunded
TXN0008353,CRM009103,173.73,2022-11-20,pending
TXN0007517,GHOST00020,424.72,2023-10-20,completed
TXN0011164,CRM000640,358.33,2022-11-10,completed
TXN0002215,CRM008567,47.24,2023-12-23,failed
TXN0000773,CRM003890,214.38,2023-04-14,pending
TXN0010645,CRM003602,282.07,2024-03-31,completed
TXN0011239,CRM000106,160.77,2023-01-06,pending
TXN0011267,CRM006350,211.02,2023-05-10,completed
TXN0003580,CRM007250,63.35,2023-06-12,completed
TXN0009092,CRM009259,111.38,2022-08-05,completed
TXN0007085,CRM001133,2097.95,2024-05-18,completed
TXN0005469,CRM008425,198.8,2022-01-03,completed
TXN0008604,CRM005788,57.37,2022-08-01,pending
TXN0001483,CRM005860,116.26,2022-08-01,completed
TXN0001414,CRM008969,102.73,2022-08-26,pending
TXN0009729,CRM009376,4743.85,2023-09-23,completed
TXN0004240,CRM006043,1051.5,2023-06-06,failed
TXN0003427,CRM007333,190.48,2022-04-26,completed
TXN0009582,CRM002462,492.54,2022-10-12,completed
TXN0003279,CRM004982,303.88,2022-08-13,completed
TXN0002554,CRM009723,568.13,2022-12-08,completed
TXN0009846,CRM003216,763.81,2024-06-04,completed
TXN0004736,CRM004263,489.79,2022-04-15,completed
TXN0010477,CRM005592,1438.94,2023-03-09,completed
TXN0000534,CRM009357,252.45,2023-03-30,completed
TXN0000689,CRM000731,356.05,2023-10-03,completed
TXN0004932,CRM002077,1147.74,2024-01-28,completed
TXN0011325,CRM002790,768.22,2022-08-09,completed
TXN0001458,CRM002347,36.22,2023-05-09,failed
TXN0000050,CRM003284,215.41,2022-12-21,completed
TXN0010921,CRM007253,86.47,2022-09-23,completed
TXN0006779,GHOST00723,809.34,2022-08-18,completed
TXN0001177,CRM000749,231.35,2024-03-19,completed
TXN0009498,CRM006085,83.18,2023-08-06,completed
TXN0010335,CRM000994,109.64,2022-03-17,failed
TXN0011768,CRM010346,343.34,2023-06-04,completed
TXN0010364,CRM000716,194.41,2023-11-11,failed
TXN0010856,CRM002668,349.45,2022-12-13,completed
TXN0003891,CRM001727,85.39,2022-12-13,completed
TXN0011348,CRM007230,48.1,2023-01-19,completed
TXN0007917,CRM008603,535.79,2022-03-13,completed
TXN0011372,CRM001339,249.86,2022-10-17,completed
TXN0004005,CRM001216,1621.27,2022-05-24,refunded
TXN0007960,CRM000347,964.47,2022-01-20,completed
TXN0007847,CRM006677,406.55,2022-02-09,completed
TXN0000252,CRM002965,64.93,2022-05-03,completed
TXN0004314,CRM002914,1384.64,2023-02-04,completed
TXN0003545,CRM003627,217.26,2022-07-29,completed
TXN0011502,GHOST00092,2477.91,2023-03-26,completed
TXN0010574,CRM005646,153.35,2022-09-19,completed
TXN0007798,CRM000214,1235.94,2022-05-18,completed
TXN0009843,CRM006965,20.82,2022-09-16,completed
TXN0006949,GHOST01165,202.16,2022-08-20,completed
TXN0000943,GHOST00816,523.73,2022-09-28,failed
TXN0006278,CRM003139,161.31,2023-07-08,completed
TXN0007084,CRM001213,9432.37,2023-10-17,pending
TXN0001038,CRM000699,139.08,2024-03-11,completed
TXN0000396,GHOST00529,15.72,2023-09-09,completed
TXN0003187,CRM006128,100.03,2023-12-31,completed
TXN0007554,CRM010462,1403.67,2024-01-31,completed
TXN0005049,CRM004716,244.59,2023-06-01,completed
TXN0008667,CRM006254,38.88,2023-03-04,pending
TXN0006866,CRM004535,198.18,2022-09-30,completed
TXN0007509,CRM009792,726.69,2022-01-29,completed
TXN0009485,CRM006060,543.27,2022-11-10,completed
TXN0009514,CRM000474,33.06,2024-01-07,completed
TXN0009791,CRM010288,255.44,2024-04-29,completed
TXN0005705,CRM005176,143.0,2023-08-25,completed
TXN0008926,CRM008513,46.05,2023-12-08,completed
TXN0004752,CRM001071,473.06,2023-11-18,completed
TXN0007413,CRM002541,611.29,2023-09-26,failed
TXN0008059,CRM005945,256.87,2022-07-12,pending
TXN0008427,CRM005338,235.67,2023-10-05,completed
TXN0011346,CRM004158,194.4,2023-09-02,completed
TXN0011732,CRM003873,48.22,2022-09-26,completed
TXN0006580,GHOST00981,475.25,2023-04-26,completed
TXN0001429,CRM003321,833.89,2024-02-14,completed
TXN0007867,CRM004239,205.25,2022-06-03,completed
TXN0005798,GHOST01011,183.78,2022-12-23,completed
TXN0008813,CRM002398,80.13,2022-02-13,completed
TXN0005239,CRM008087,261.33,2023-07-07,pending
TXN0004650,GHOST00643,68.46,2022-06-06,completed
TXN0005671,CRM009842,324.07,2023-03-31,completed
TXN0003602,CRM006129,181.81,2022-03-30,completed
TXN0002164,CRM009851,1677.64,2023-05-29,completed
TXN0000502,CRM003357,106.51,2022-07-10,completed
TXN0002612,CRM009188,1749.44,2022-08-30,pending
TXN0010370,CRM001279,99.82,2024-04-25,completed
TXN0007238,CRM000150,322.36,2022-07-21,pending
TXN0008794,CRM005063,515.6,2023-01-01,completed
TXN0005012,CRM003477,107.31,2022-06-08,completed
TXN0001319,CRM006457,49.92,2022-12-09,completed
TXN0003561,CRM005285,69.29,2022-08-07,completed
TXN0008259,CRM001624,86.05,2023-09-06,completed
TXN0007118,CRM007987,236.96,2022-12-25,completed
TXN0003814,CRM002295,203.6,2023-09-09,pending
TXN0004775,CRM000593,109.22,2023-04-30,completed
TXN0003817,CRM002801,143.6,2024-02-15,completed
TXN0008848,CRM009054,66.34,2023-04-13,completed
TXN0011183,CRM003629,,2024-03-06,completed
TXN0001413,CRM010420,167.46,2023-07-06,completed
TXN0001682,CRM005293,790.81,2022-08-10,completed
TXN0009138,CRM006479,1158.61,2023-06-06,completed
TXN0007039,CRM006105,186.49,2023-06-22,completed
TXN0011208,CRM002480,103.44,2022-01-08,refunded
TXN0004485,CRM002311,63.81,2022-07-23,pending
TXN0004992,CRM004708,149.48,2023-06-17,completed
TXN0005781,CRM001256,1339.47,2023-01-05,completed
TXN0007414,CRM007696,502.07,2024-04-26,completed
TXN0000015,CRM007569,214.47,2023-11-07,completed
TXN0002147,CRM006967,233.22,2022-08-19,completed
TXN0011025,CRM007936,308.05,2024-03-20,completed
TXN0001418,CRM005548,27.78,2023-07-01,completed
TXN0001567,CRM008130,127.66,2022-11-21,completed
TXN0010788,CRM008112,397.98,2022-10-09,completed
TXN0008489,CRM006983,145.52,2023-06-26,pending
TXN0001213,CRM009793,473.31,2022-10-05,completed
TXN0009852,CRM008283,639.9,2022-04-13,completed
TXN0008232,GHOST00478,532.72,2024-02-07,pending
TXN0006551,CRM010379,78.47,2022-02-05,completed
TXN0006827,CRM000072,1072.9,2023-08-04,completed
TXN0005342,CRM008862,169.45,2023-02-27,completed
TXN0010006,CRM002473,442.88,2023-08-01,completed
TXN0004968,CRM003744,236.36,2023-06-12,completed
TXN0011793,GHOST01026,41.85,2022-02-15,completed
TXN0002025,CRM002381,28.27,2022-07-18,completed
TXN0010743,CRM004809,2679.94,2022-03-18,completed
TXN0006711,CRM008129,57.54,2023-02-06,completed
TXN0008287,CRM009946,79.82,2022-08-02,failed
TXN0011001,CRM005458,663.22,2023-12-18,completed
TXN0003861,CRM007454,11295.78,2022-02-15,completed
TXN0000883,CRM003548,570.76,2023-11-17,completed
TXN0006094,CRM007338,54.03,2023-01-29,completed
TXN0003299,CRM008389,107.42,2023-12-01,completed
TXN0004222,CRM003656,89.71,2023-11-20,failed
TXN0001721,CRM008124,478.36,2022-10-06,completed
TXN0010115,CRM005559,187.54,2023-12-10,completed
TXN0003167,CRM003439,362.03,2024-02-15,completed
TXN0003392,CRM006574,226.38,2024-05-23,completed
TXN0005030,CRM009854,245.54,2022-12-28,completed
TXN0009754,CRM000998,2320.56,2022-03-20,pending
TXN0006853,CRM002651,143.92,2022-10-29,completed
TXN0009068,CRM004920,245.15,2024-01-31,completed
TXN0007941,CRM007299,618.56,2022-06-04,completed
TXN0005554,CRM005265,227.58,2023-05-28,completed
TXN0003456,CRM002623,37.75,2023-02-11,completed
TXN0001924,CRM003708,1011.48,2022-07-13,pending
TXN0001826,CRM006835,45.28,2023-08-01,completed
TXN0008480,CRM003520,70.29,2023-05-15,completed
TXN0001442,GHOST00237,224.3,2023-02-03,completed
TXN0002388,CRM002824,42.89,2023-11-18,completed
TXN0003981,CRM007284,97.14,2022-12-01,pending
TXN0008246,CRM000286,112.6,2024-03-11,completed
TXN0006419,CRM005461,519.51,2023-11-19,completed
TXN0002681,CRM010454,833.88,2023-06-26,completed
TXN0000483,CRM008557,60.97,2022-08-30,completed
TXN0004010,CRM004758,208.51,2022-03-01,completed
TXN0008555,CRM007285,645.83,2022-09-29,pending
TXN0002691,CRM009956,200.08,2022-12-02,completed
TXN0004053,GHOST00959,409.12,2023-04-28,failed
TXN0000053,CRM000393,106.83,2022-03-30,completed
TXN0002510,CRM001184,1579.18,2023-01-27,completed
TXN0010134,CRM003790,127.66,2023-10-20,completed
TXN0001549,CRM006315,443.5,2023-11-29,completed
TXN0009876,CRM008114,351.82,2023-01-27,completed
TXN0009555,CRM000175,96.47,2022-11-27,completed
TXN0001034,CRM003290,1137.29,2024-01-11,completed
TXN0000099,CRM003202,100.1,2022-07-28,completed
TXN0001759,CRM004718,345.62,2023-12-26,pending
TXN0002894,CRM002489,110.88,2023-07-30,completed
TXN0001312,CRM002716,51.66,2022-09-27,completed
TXN0010069,CRM001275,585.27,2022-11-20,completed
TXN0010720,CRM003572,353.71,2022-12-25,pending
TXN0000437,CRM002742,405.6,2023-11-28,pending
TXN0003900,CRM004005,257.56,2022-12-07,completed
TXN0009519,GHOST00884,62.34,2022-04-06,completed
TXN0009734,CRM001778,214.83,2023-08-29,completed
TXN0010824,GHOST00642,1255.96,2023-11-21,completed
TXN0008385,CRM009608,231.25,2023-09-01,completed
TXN0004331,CRM000488,979.75,2023-04-25,completed
TXN0002447,CRM009563,27.56,2023-04-08,completed
TXN0004931,CRM000950,217.07,2022-11-09,completed
TXN0000225,CRM009546,1048.24,2022-09-16,pending
TXN0000221,CRM009067,252.89,2022-05-02,completed
TXN0001806,CRM003834,334.5,2023-04-09,pending
TXN0011670,CRM003837,98.85,2023-02-24,completed
TXN0003966,CRM000694,51.96,2023-07-12,completed
TXN0009104,CRM007651,462.11,2022-02-11,completed
TXN0002171,CRM003057,142.42,2023-02-08,completed
TXN0002181,CRM010456,182.59,2024-02-27,completed
TXN0000837,CRM008361,251.34,2023-07-15,completed
TXN0007427,CRM007751,351.18,2024-06-18,refunded
TXN0005067,CRM002958,76.37,2023-06-19,completed
TXN0000756,CRM001258,204.44,2023-03-06,completed
TXN0007385,CRM007872,38.22,2024-02-12,completed
TXN0000645,GHOST00227,78.06,2022-01-09,completed
TXN0006213,CRM008904,137.6,2022-02-06,refunded
TXN0011576,CRM002422,103.82,2022-01-11,completed
TXN0000572,CRM007617,912.82,2022-07-28,completed
TXN0011000,CRM000180,714.71,2023-02-06,refunded
TXN0002442,CRM001733,675.0,2023-07-13,completed
TXN0001699,CRM006590,703.46,2024-01-25,completed
TXN0001648,CRM006439,254.3,2022-07-10,completed
TXN0001481,CRM000820,169.3,2024-02-02,completed
TXN0009938,CRM010117,338.45,2022-06-14,completed
TXN0001504,CRM001043,218.55,2023-01-14,completed
TXN0004670,CRM004075,299.37,2022-04-12,completed
TXN0008694,CRM003730,364.54,2022-12-26,completed
TXN0010112,CRM008552,456.85,2023-06-12,completed
TXN0005685,CRM002102,38.79,2022-01-27,pending
TXN0001100,GHOST00128,13.41,2022-03-07,completed
TXN0010001,CRM006632,999.18,2024-01-06,completed
TXN0002101,CRM000621,385.63,2023-01-12,completed
TXN0011095,CRM006642,43.58,2022-06-14,pending
TXN0004147,CRM001013,1057.88,2022-10-18,pending
TXN0000368,CRM004556,271.82,2023-10-16,completed
TXN0008731,CRM004712,276.84,2023-01-13,completed
TXN0001662,CRM004231,103.76,2023-02-11,completed
